areaCode,areaName,areaType,date,newCasesByPublishDate
E12000001,North East,region,18/05/2023,341
E12000001,North East,region,17/05/2023,0
E12000001,North East,region,16/05/2023,0
E12000001,North East,region,15/05/2023,0
E12000001,North East,region,14/05/2023,0
E12000001,North East,region,13/05/2023,0
E12000001,North East,region,12/05/2023,0
E12000001,North East,region,11/05/2023,427
E12000001,North East,region,10/05/2023,0
E12000001,North East,region,09/05/2023,0
E12000001,North East,region,08/05/2023,0
E12000001,North East,region,07/05/2023,0
E12000001,North East,region,06/05/2023,0
E12000001,North East,region,05/05/2023,0
E12000001,North East,region,04/05/2023,440
E12000001,North East,region,03/05/2023,0
E12000001,North East,region,02/05/2023,0
E12000001,North East,region,01/05/2023,0
E12000001,North East,region,30/04/2023,0
E12000001,North East,region,29/04/2023,0
E12000001,North East,region,28/04/2023,0
E12000001,North East,region,27/04/2023,536
E12000001,North East,region,26/04/2023,0
E12000001,North East,region,25/04/2023,0
E12000001,North East,region,24/04/2023,0
E12000001,North East,region,23/04/2023,0
E12000001,North East,region,22/04/2023,0
E12000001,North East,region,21/04/2023,0
E12000001,North East,region,20/04/2023,612
E12000001,North East,region,19/04/2023,0
E12000001,North East,region,18/04/2023,0
E12000001,North East,region,17/04/2023,0
E12000001,North East,region,16/04/2023,0
E12000001,North East,region,15/04/2023,0
E12000001,North East,region,14/04/2023,0
E12000001,North East,region,13/04/2023,754
E12000001,North East,region,12/04/2023,0
E12000001,North East,region,11/04/2023,0
E12000001,North East,region,10/04/2023,0
E12000001,North East,region,09/04/2023,0
E12000001,North East,region,08/04/2023,0
E12000001,North East,region,07/04/2023,0
E12000001,North East,region,06/04/2023,1066
E12000001,North East,region,05/04/2023,0
E12000001,North East,region,04/04/2023,0
E12000001,North East,region,03/04/2023,0
E12000001,North East,region,02/04/2023,0
E12000001,North East,region,01/04/2023,0
E12000001,North East,region,31/03/2023,0
E12000001,North East,region,30/03/2023,1426
E12000001,North East,region,29/03/2023,0
E12000001,North East,region,28/03/2023,0
E12000001,North East,region,27/03/2023,0
E12000001,North East,region,26/03/2023,0
E12000001,North East,region,25/03/2023,0
E12000001,North East,region,24/03/2023,0
E12000001,North East,region,23/03/2023,1449
E12000001,North East,region,22/03/2023,0
E12000001,North East,region,21/03/2023,0
E12000001,North East,region,20/03/2023,0
E12000001,North East,region,19/03/2023,0
E12000001,North East,region,18/03/2023,0
E12000001,North East,region,17/03/2023,0
E12000001,North East,region,16/03/2023,1477
E12000001,North East,region,15/03/2023,0
E12000001,North East,region,14/03/2023,0
E12000001,North East,region,13/03/2023,0
E12000001,North East,region,12/03/2023,0
E12000001,North East,region,11/03/2023,0
E12000001,North East,region,10/03/2023,0
E12000001,North East,region,09/03/2023,1562
E12000001,North East,region,08/03/2023,0
E12000001,North East,region,07/03/2023,0
E12000001,North East,region,06/03/2023,0
E12000001,North East,region,05/03/2023,0
E12000001,North East,region,04/03/2023,0
E12000001,North East,region,03/03/2023,0
E12000001,North East,region,02/03/2023,1475
E12000001,North East,region,01/03/2023,0
E12000001,North East,region,28/02/2023,0
E12000001,North East,region,27/02/2023,0
E12000001,North East,region,26/02/2023,0
E12000001,North East,region,25/02/2023,0
E12000001,North East,region,24/02/2023,0
E12000001,North East,region,23/02/2023,1442
E12000001,North East,region,22/02/2023,0
E12000001,North East,region,21/02/2023,0
E12000001,North East,region,20/02/2023,0
E12000001,North East,region,19/02/2023,0
E12000001,North East,region,18/02/2023,0
E12000001,North East,region,17/02/2023,0
E12000001,North East,region,16/02/2023,1450
E12000001,North East,region,15/02/2023,0
E12000001,North East,region,14/02/2023,0
E12000001,North East,region,13/02/2023,0
E12000001,North East,region,12/02/2023,0
E12000001,North East,region,11/02/2023,0
E12000001,North East,region,10/02/2023,0
E12000001,North East,region,09/02/2023,1241
E12000001,North East,region,08/02/2023,0
E12000001,North East,region,07/02/2023,0
E12000001,North East,region,06/02/2023,0
E12000001,North East,region,05/02/2023,0
E12000001,North East,region,04/02/2023,0
E12000001,North East,region,03/02/2023,0
E12000001,North East,region,02/02/2023,916
E12000001,North East,region,01/02/2023,0
E12000001,North East,region,31/01/2023,0
E12000001,North East,region,30/01/2023,0
E12000001,North East,region,29/01/2023,0
E12000001,North East,region,28/01/2023,0
E12000001,North East,region,27/01/2023,0
E12000001,North East,region,26/01/2023,733
E12000001,North East,region,25/01/2023,0
E12000001,North East,region,24/01/2023,0
E12000001,North East,region,23/01/2023,0
E12000001,North East,region,22/01/2023,0
E12000001,North East,region,21/01/2023,0
E12000001,North East,region,20/01/2023,0
E12000001,North East,region,19/01/2023,830
E12000001,North East,region,18/01/2023,0
E12000001,North East,region,17/01/2023,0
E12000001,North East,region,16/01/2023,0
E12000001,North East,region,15/01/2023,0
E12000001,North East,region,14/01/2023,0
E12000001,North East,region,13/01/2023,0
E12000001,North East,region,12/01/2023,1237
E12000001,North East,region,11/01/2023,0
E12000001,North East,region,10/01/2023,0
E12000001,North East,region,09/01/2023,0
E12000001,North East,region,08/01/2023,0
E12000001,North East,region,07/01/2023,0
E12000001,North East,region,06/01/2023,0
E12000001,North East,region,05/01/2023,1628
E12000001,North East,region,04/01/2023,0
E12000001,North East,region,03/01/2023,0
E12000001,North East,region,02/01/2023,0
E12000001,North East,region,01/01/2023,0
E12000001,North East,region,31/12/2022,0
E12000001,North East,region,30/12/2022,0
E12000001,North East,region,29/12/2022,1402
E12000001,North East,region,28/12/2022,0
E12000001,North East,region,27/12/2022,0
E12000001,North East,region,26/12/2022,0
E12000001,North East,region,25/12/2022,0
E12000001,North East,region,24/12/2022,0
E12000001,North East,region,23/12/2022,0
E12000001,North East,region,22/12/2022,1528
