areaCode,areaName,areaType,date,newCasesByPublishDate,newDeaths28DaysByPublishDate,newVirusTestsByPublishDate
E12000001,North East,region,18/05/2023,341,25,
E12000001,North East,region,17/05/2023,0,0,504
E12000001,North East,region,16/05/2023,0,0,368
E12000001,North East,region,15/05/2023,0,0,314
E12000001,North East,region,14/05/2023,0,0,463
E12000001,North East,region,13/05/2023,0,0,631
E12000001,North East,region,12/05/2023,0,0,517
E12000001,North East,region,11/05/2023,427,30,662
E12000001,North East,region,10/05/2023,0,0,606
E12000001,North East,region,09/05/2023,0,0,380
E12000001,North East,region,08/05/2023,0,0,261
E12000001,North East,region,07/05/2023,0,0,341
E12000001,North East,region,06/05/2023,0,0,599
E12000001,North East,region,05/05/2023,0,0,410
E12000001,North East,region,04/05/2023,440,34,769
E12000001,North East,region,03/05/2023,0,0,719
E12000001,North East,region,02/05/2023,0,0,342
E12000001,North East,region,01/05/2023,0,0,414
E12000001,North East,region,30/04/2023,0,0,496
E12000001,North East,region,29/04/2023,0,0,621
E12000001,North East,region,28/04/2023,0,0,499
E12000001,North East,region,27/04/2023,536,45,673
E12000001,North East,region,26/04/2023,0,0,696
E12000001,North East,region,25/04/2023,0,0,3081
E12000001,North East,region,24/04/2023,0,0,559
E12000001,North East,region,23/04/2023,0,0,460
E12000001,North East,region,22/04/2023,0,0,555
E12000001,North East,region,21/04/2023,0,0,871
E12000001,North East,region,20/04/2023,612,55,228
E12000001,North East,region,19/04/2023,0,0,668
E12000001,North East,region,18/04/2023,0,0,409
E12000001,North East,region,17/04/2023,0,0,1567
E12000001,North East,region,16/04/2023,0,0,5
E12000001,North East,region,15/04/2023,0,0,276
E12000001,North East,region,14/04/2023,0,0,538
E12000001,North East,region,13/04/2023,754,51,658
E12000001,North East,region,12/04/2023,0,0,478
E12000001,North East,region,11/04/2023,0,0,489
E12000001,North East,region,10/04/2023,0,0,456
E12000001,North East,region,09/04/2023,0,0,602
E12000001,North East,region,08/04/2023,0,0,483
E12000001,North East,region,07/04/2023,0,0,1101
E12000001,North East,region,06/04/2023,1066,64,1018
E12000001,North East,region,05/04/2023,0,0,1142
E12000001,North East,region,04/04/2023,0,0,961
E12000001,North East,region,03/04/2023,0,0,769
E12000001,North East,region,02/04/2023,0,0,714
E12000001,North East,region,01/04/2023,0,0,2056
E12000001,North East,region,31/03/2023,0,0,1182
E12000001,North East,region,30/03/2023,1426,38,2197
E12000001,North East,region,29/03/2023,0,0,1865
E12000001,North East,region,28/03/2023,0,0,2082
E12000001,North East,region,27/03/2023,0,0,1140
E12000001,North East,region,26/03/2023,0,0,1182
E12000001,North East,region,25/03/2023,0,0,1908
E12000001,North East,region,24/03/2023,0,0,2092
E12000001,North East,region,23/03/2023,1449,68,2142
E12000001,North East,region,22/03/2023,0,0,2564
E12000001,North East,region,21/03/2023,0,0,1929
E12000001,North East,region,20/03/2023,0,0,1127
E12000001,North East,region,19/03/2023,0,0,1946
E12000001,North East,region,18/03/2023,0,0,2585
E12000001,North East,region,17/03/2023,0,0,1081
E12000001,North East,region,16/03/2023,1477,53,1174
E12000001,North East,region,15/03/2023,0,0,2251
E12000001,North East,region,14/03/2023,0,0,2125
E12000001,North East,region,13/03/2023,0,0,1363
E12000001,North East,region,12/03/2023,0,0,997
E12000001,North East,region,11/03/2023,0,0,1933
E12000001,North East,region,10/03/2023,0,0,2093
E12000001,North East,region,09/03/2023,1562,57,2211
E12000001,North East,region,08/03/2023,0,0,2572
E12000001,North East,region,07/03/2023,0,0,2151
E12000001,North East,region,06/03/2023,0,0,1253
E12000001,North East,region,05/03/2023,0,0,1172
E12000001,North East,region,04/03/2023,0,0,2354
E12000001,North East,region,03/03/2023,0,0,2093
E12000001,North East,region,02/03/2023,1475,58,2037
E12000001,North East,region,01/03/2023,0,0,2240
E12000001,North East,region,28/02/2023,0,0,2130
E12000001,North East,region,27/02/2023,0,0,1267
E12000001,North East,region,26/02/2023,0,0,1380
E12000001,North East,region,25/02/2023,0,0,1666
E12000001,North East,region,24/02/2023,0,0,1951
E12000001,North East,region,23/02/2023,1442,46,2226
E12000001,North East,region,22/02/2023,0,0,2843
E12000001,North East,region,21/02/2023,0,0,2075
E12000001,North East,region,20/02/2023,0,0,2970
E12000001,North East,region,19/02/2023,0,0,900
E12000001,North East,region,18/02/2023,0,0,913
E12000001,North East,region,17/02/2023,0,0,2218
E12000001,North East,region,16/02/2023,1450,55,3164
E12000001,North East,region,15/02/2023,0,0,1531
E12000001,North East,region,14/02/2023,0,0,2303
E12000001,North East,region,13/02/2023,0,0,1897
E12000001,North East,region,12/02/2023,0,0,872
E12000001,North East,region,11/02/2023,0,0,2039
E12000001,North East,region,10/02/2023,0,0,2337
E12000001,North East,region,09/02/2023,1241,31,1890
E12000001,North East,region,08/02/2023,0,0,1755
E12000001,North East,region,07/02/2023,0,0,2118
E12000001,North East,region,06/02/2023,0,0,1224
E12000001,North East,region,05/02/2023,0,0,1564
E12000001,North East,region,04/02/2023,0,0,2452
E12000001,North East,region,03/02/2023,0,0,1545
E12000001,North East,region,02/02/2023,916,41,1971
E12000001,North East,region,01/02/2023,0,0,2024
E12000001,North East,region,31/01/2023,0,0,1879
E12000001,North East,region,30/01/2023,0,0,1137
E12000001,North East,region,29/01/2023,0,0,926
E12000001,North East,region,28/01/2023,0,0,1714
E12000001,North East,region,27/01/2023,0,0,1495
E12000001,North East,region,26/01/2023,733,59,2220
