areaCode,areaName,areaType,date,newCasesBySpecimenDate,newDeaths28DaysByDeathDate,newPeopleVaccinatedFirstDoseByVaccinationDate,newPeopleVaccinatedSecondDoseByVaccinationDate
E12000001,North East,region,17/05/2023,22,,6,6
E12000001,North East,region,16/05/2023,47,,4,3
E12000001,North East,region,15/05/2023,47,1,2,3
E12000001,North East,region,14/05/2023,51,0,11,10
E12000001,North East,region,13/05/2023,47,3,5,5
E12000001,North East,region,12/05/2023,42,1,7,4
E12000001,North East,region,11/05/2023,46,4,2,8
E12000001,North East,region,10/05/2023,60,3,4,4
E12000001,North East,region,09/05/2023,83,3,1,2
E12000001,North East,region,08/05/2023,59,8,0,0
E12000001,North East,region,07/05/2023,59,2,23,19
E12000001,North East,region,06/05/2023,47,3,11,14
E12000001,North East,region,05/05/2023,59,7,0,1
E12000001,North East,region,04/05/2023,67,2,4,5
E12000001,North East,region,03/05/2023,61,3,2,5
E12000001,North East,region,02/05/2023,78,7,3,8
E12000001,North East,region,01/05/2023,64,3,0,1
E12000001,North East,region,30/04/2023,58,8,4,21
E12000001,North East,region,29/04/2023,61,3,22,48
E12000001,North East,region,28/04/2023,58,4,9,9
E12000001,North East,region,27/04/2023,58,5,17,14
E12000001,North East,region,26/04/2023,61,6,6,14
E12000001,North East,region,25/04/2023,65,0,8,8
E12000001,North East,region,24/04/2023,89,4,6,8
E12000001,North East,region,23/04/2023,65,5,3,1
E12000001,North East,region,22/04/2023,56,6,1,6
E12000001,North East,region,21/04/2023,70,8,12,7
E12000001,North East,region,20/04/2023,81,2,7,3
E12000001,North East,region,19/04/2023,93,5,5,3
E12000001,North East,region,18/04/2023,96,6,22,15
E12000001,North East,region,17/04/2023,98,7,5,5
E12000001,North East,region,16/04/2023,72,9,0,0
E12000001,North East,region,15/04/2023,70,8,0,1
E12000001,North East,region,14/04/2023,85,9,4,3
E12000001,North East,region,13/04/2023,97,11,6,2
E12000001,North East,region,12/04/2023,140,13,2,2
E12000001,North East,region,11/04/2023,126,3,6,6
E12000001,North East,region,10/04/2023,102,3,0,0
E12000001,North East,region,09/04/2023,103,5,0,1
E12000001,North East,region,08/04/2023,91,8,1,1
E12000001,North East,region,07/04/2023,90,8,0,0
E12000001,North East,region,06/04/2023,108,7,3,4
E12000001,North East,region,05/04/2023,107,5,7,6
E12000001,North East,region,04/04/2023,139,10,11,20
