areaCode,areaName,areaType,date,newCasesBySpecimenDateRollingRate,newDeaths28DaysByDeathDateRollingRate
E12000001,North East,region,13/05/2023,14.8,0.9
E12000001,North East,region,12/05/2023,14.8,0.9
E12000001,North East,region,11/05/2023,15.4,1.1
E12000001,North East,region,10/05/2023,16.2,1
E12000001,North East,region,09/05/2023,16.2,1
E12000001,North East,region,08/05/2023,16,1.2
E12000001,North East,region,07/05/2023,16.2,1
E12000001,North East,region,06/05/2023,16.2,1.2
E12000001,North East,region,05/05/2023,16.7,1.2
E12000001,North East,region,04/05/2023,16.7,1.1
E12000001,North East,region,03/05/2023,16.3,1.2
E12000001,North East,region,02/05/2023,16.3,1.3
E12000001,North East,region,01/05/2023,15.9,1.1
E12000001,North East,region,30/04/2023,16.8,1.1
E12000001,North East,region,29/04/2023,17,1
E12000001,North East,region,28/04/2023,16.9,1.1
E12000001,North East,region,27/04/2023,17.3,1.3
E12000001,North East,region,26/04/2023,18.2,1.2
E12000001,North East,region,25/04/2023,19.4,1.1
E12000001,North East,region,24/04/2023,20.5,1.3
E12000001,North East,region,23/04/2023,20.9,1.5
E12000001,North East,region,22/04/2023,21.1,1.6
E12000001,North East,region,21/04/2023,21.6,1.7
E12000001,North East,region,20/04/2023,22.2,1.7
E12000001,North East,region,19/04/2023,22.8,2.1
E12000001,North East,region,18/04/2023,24.5,2.4
E12000001,North East,region,17/04/2023,25.7,2.2
E12000001,North East,region,16/04/2023,25.8,2.1
E12000001,North East,region,15/04/2023,27,1.9
E12000001,North East,region,14/04/2023,27.8,1.9
E12000001,North East,region,13/04/2023,27.9,1.9
E12000001,North East,region,12/04/2023,28.4,1.8
E12000001,North East,region,11/04/2023,27.1,1.5
E12000001,North East,region,10/04/2023,27.6,1.7
E12000001,North East,region,09/04/2023,28.8,1.9
E12000001,North East,region,08/04/2023,30.1,1.9
E12000001,North East,region,07/04/2023,30.8,1.7
E12000001,North East,region,06/04/2023,33.2,1.6
E12000001,North East,region,05/04/2023,36.1,1.7
E12000001,North East,region,04/04/2023,39.9,1.9
E12000001,North East,region,03/04/2023,43.3,1.9
E12000001,North East,region,02/04/2023,46.8,1.9
E12000001,North East,region,01/04/2023,47.4,2.2
E12000001,North East,region,31/03/2023,48.3,2.6
E12000001,North East,region,30/03/2023,51.9,2.6
E12000001,North East,region,29/03/2023,54.9,2.4
E12000001,North East,region,28/03/2023,55.4,2.5
E12000001,North East,region,27/03/2023,55.7,2.2
