areaCode,areaName,areaType,date,newPeopleVaccinatedThirdInjectionByVaccinationDate
E12000001,North East,region,17/05/2023,5
E12000001,North East,region,16/05/2023,4
E12000001,North East,region,15/05/2023,5
E12000001,North East,region,14/05/2023,0
E12000001,North East,region,13/05/2023,8
E12000001,North East,region,12/05/2023,5
E12000001,North East,region,11/05/2023,7
E12000001,North East,region,10/05/2023,7
E12000001,North East,region,09/05/2023,4
E12000001,North East,region,08/05/2023,0
E12000001,North East,region,07/05/2023,1
E12000001,North East,region,06/05/2023,0
E12000001,North East,region,05/05/2023,4
E12000001,North East,region,04/05/2023,11
E12000001,North East,region,03/05/2023,10
E12000001,North East,region,02/05/2023,9
E12000001,North East,region,01/05/2023,1
E12000001,North East,region,30/04/2023,1
E12000001,North East,region,29/04/2023,2
E12000001,North East,region,28/04/2023,8
E12000001,North East,region,27/04/2023,10
E12000001,North East,region,26/04/2023,7
E12000001,North East,region,25/04/2023,15
E12000001,North East,region,24/04/2023,6
E12000001,North East,region,23/04/2023,2
E12000001,North East,region,22/04/2023,11
E12000001,North East,region,21/04/2023,5
E12000001,North East,region,20/04/2023,6
E12000001,North East,region,19/04/2023,11
E12000001,North East,region,18/04/2023,17
E12000001,North East,region,17/04/2023,9
E12000001,North East,region,16/04/2023,2
E12000001,North East,region,15/04/2023,4
E12000001,North East,region,14/04/2023,7
E12000001,North East,region,13/04/2023,8
E12000001,North East,region,12/04/2023,24
E12000001,North East,region,11/04/2023,8
E12000001,North East,region,10/04/2023,0
E12000001,North East,region,09/04/2023,2
E12000001,North East,region,08/04/2023,1
E12000001,North East,region,07/04/2023,1
E12000001,North East,region,06/04/2023,8
E12000001,North East,region,05/04/2023,12
E12000001,North East,region,04/04/2023,13
E12000001,North East,region,03/04/2023,6
E12000001,North East,region,02/04/2023,0
E12000001,North East,region,01/04/2023,0
E12000001,North East,region,31/03/2023,0
E12000001,North East,region,30/03/2023,0
E12000001,North East,region,29/03/2023,0
E12000001,North East,region,28/03/2023,0
