areaCode,areaName,areaType,date,cumVaccinationFirstDoseUptakeByVaccinationDatePercentage,cumVaccinationSecondDoseUptakeByVaccinationDatePercentage,cumVaccinationThirdInjectionUptakeByVaccinationDatePercentage
E12000001,North East,region,24/05/2023,82.9,79.1,64.3
E12000001,North East,region,23/05/2023,82.9,79.1,64.3
E12000001,North East,region,22/05/2023,82.9,79.1,64.3
E12000001,North East,region,21/05/2023,82.9,79.1,64.3
E12000001,North East,region,20/05/2023,82.9,79.1,64.3
E12000001,North East,region,19/05/2023,82.9,79.1,64.3
E12000001,North East,region,18/05/2023,82.9,79.1,64.3
E12000001,North East,region,17/05/2023,82.9,79.1,64.3
E12000001,North East,region,16/05/2023,82.9,79.1,64.3
E12000001,North East,region,15/05/2023,82.9,79.1,64.3
E12000001,North East,region,14/05/2023,82.9,79.1,64.3
E12000001,North East,region,13/05/2023,82.9,79.1,64.3
E12000001,North East,region,12/05/2023,82.9,79.1,64.3
E12000001,North East,region,11/05/2023,82.9,79.1,64.3
E12000001,North East,region,10/05/2023,82.9,79.1,64.3
E12000001,North East,region,09/05/2023,82.9,79.1,64.3
E12000001,North East,region,08/05/2023,82.9,79.1,64.3
E12000001,North East,region,07/05/2023,82.9,79.1,64.3
E12000001,North East,region,06/05/2023,82.9,79.1,64.3
E12000001,North East,region,05/05/2023,82.9,79.1,64.3
E12000001,North East,region,04/05/2023,82.9,79.1,64.3
E12000001,North East,region,03/05/2023,82.9,79.1,64.3
E12000001,North East,region,02/05/2023,82.9,79.1,64.3
E12000001,North East,region,01/05/2023,82.9,79.1,64.3
E12000001,North East,region,30/04/2023,82.9,79.1,64.3
E12000001,North East,region,29/04/2023,82.9,79.1,64.3
E12000001,North East,region,28/04/2023,82.9,79.1,64.3
E12000001,North East,region,27/04/2023,82.9,79.1,64.3
E12000001,North East,region,26/04/2023,82.9,79.1,64.3
E12000001,North East,region,25/04/2023,82.9,79.1,64.3
E12000001,North East,region,24/04/2023,82.9,79.1,64.3
E12000001,North East,region,23/04/2023,82.9,79.1,64.3
E12000001,North East,region,22/04/2023,82.9,79.1,64.3
E12000001,North East,region,21/04/2023,82.9,79.1,64.3
E12000001,North East,region,20/04/2023,82.9,79.1,64.3
E12000001,North East,region,19/04/2023,82.9,79.1,64.3
E12000001,North East,region,18/04/2023,82.9,79.1,64.3
E12000001,North East,region,17/04/2023,82.9,79.1,64.3
E12000001,North East,region,16/04/2023,82.9,79.1,64.3
E12000001,North East,region,15/04/2023,82.9,79.1,64.3
E12000001,North East,region,14/04/2023,82.9,79.1,64.3
E12000001,North East,region,13/04/2023,82.9,79.1,64.3
E12000001,North East,region,12/04/2023,82.9,79.1,64.3
E12000001,North East,region,11/04/2023,82.9,79.1,64.3
E12000001,North East,region,10/04/2023,82.9,79.1,64.3
E12000001,North East,region,09/04/2023,82.9,79.1,64.3
E12000001,North East,region,08/04/2023,82.9,79.1,64.3
E12000001,North East,region,07/04/2023,82.9,79.1,64.3
E12000001,North East,region,06/04/2023,82.9,79.1,64.3
E12000001,North East,region,05/04/2023,82.9,79.1,64.3
E12000001,North East,region,04/04/2023,82.9,79.1,64.3
E12000001,North East,region,03/04/2023,82.9,79.1,64.3
E12000001,North East,region,02/04/2023,82.9,79.1,64.3
E12000001,North East,region,01/04/2023,82.9,79.1,64.3
E12000001,North East,region,31/03/2023,82.9,79.1,64.3
E12000001,North East,region,30/03/2023,82.9,79.1,64.3
E12000001,North East,region,29/03/2023,82.9,79.1,64.3
E12000001,North East,region,28/03/2023,82.9,79.1,64.3
E12000001,North East,region,27/03/2023,82.9,79.1,64.3
E12000001,North East,region,26/03/2023,82.9,79.1,64.3
E12000001,North East,region,25/03/2023,82.9,79.1,64.3
E12000001,North East,region,24/03/2023,82.9,79.1,64.3
E12000001,North East,region,23/03/2023,82.9,79.1,64.3
E12000001,North East,region,22/03/2023,82.9,79.1,64.3
E12000001,North East,region,21/03/2023,82.9,79.1,64.3
E12000001,North East,region,20/03/2023,82.9,79.1,64.3
E12000001,North East,region,19/03/2023,82.9,79.1,64.3
E12000001,North East,region,18/03/2023,82.9,79.1,64.3
E12000001,North East,region,17/03/2023,82.9,79.1,64.3
E12000001,North East,region,16/03/2023,82.9,79.1,64.3
E12000001,North East,region,15/03/2023,82.9,79.1,64.3
E12000001,North East,region,14/03/2023,82.9,79.1,64.3
E12000001,North East,region,13/03/2023,82.9,79.1,64.3
E12000001,North East,region,12/03/2023,82.9,79.1,64.3
E12000001,North East,region,11/03/2023,82.9,79.1,64.3
E12000001,North East,region,10/03/2023,82.9,79.1,64.3
E12000001,North East,region,09/03/2023,82.9,79.1,64.3
E12000001,North East,region,08/03/2023,82.9,79.1,64.3
E12000001,North East,region,07/03/2023,82.9,79.1,64.3
E12000001,North East,region,06/03/2023,82.9,79.1,64.3
E12000001,North East,region,05/03/2023,82.9,79.1,64.3
E12000001,North East,region,04/03/2023,82.9,79.1,64.3
E12000001,North East,region,03/03/2023,82.9,79.1,64.3
E12000001,North East,region,02/03/2023,82.9,79.1,64.3
E12000001,North East,region,01/03/2023,82.9,79.1,64.3
E12000001,North East,region,28/02/2023,82.9,79.1,64.3
E12000001,North East,region,27/02/2023,82.9,79.1,64.3
E12000001,North East,region,26/02/2023,82.9,79.1,64.3
E12000001,North East,region,25/02/2023,82.9,79.1,64.3
E12000001,North East,region,24/02/2023,82.9,79.1,64.3
E12000001,North East,region,23/02/2023,82.9,79.1,64.3
E12000001,North East,region,22/02/2023,82.9,79.1,64.3
E12000001,North East,region,21/02/2023,82.9,79.1,64.3
E12000001,North East,region,20/02/2023,82.9,79.1,64.3
E12000001,North East,region,19/02/2023,82.9,79.1,64.3
E12000001,North East,region,18/02/2023,82.9,79.1,64.3
E12000001,North East,region,17/02/2023,82.9,79.1,64.3
E12000001,North East,region,16/02/2023,82.9,79.1,64.3
